category,title,slug,short_description,description,clinical_focus,benefits,composition,protocol_summary,protocol_details,is_featured,is_active,featured_image,gallery,sort_order
Derma line,Fucus vial,fucus-vial,"A mesotherapy-style body contouring vial positioned for localized fat management, drainage support, and skin-firming benefits.","<p>Fucus vial is a professional aesthetic solution formulated for body-contouring protocols, particularly areas with localized fat, fluid retention, and reduced firmness.</p>","Body Contouring, Localized Fat Management, Cellulite Treatment, Skin Firming","[""Localized Contouring"", ""Fat Breakdown Support"", ""Microcirculation Boost"", ""Skin Firming"", ""Cellulite Care"", ""Drainage Support""]","[{""name"": ""Phosphatidylcholine"", ""description"": ""500 mg""}, {""name"": ""Deoxycholic acid"", ""description"": ""100 mg""}, {""name"": ""Caffeine"", ""description"": ""2%""}, {""name"": ""L-Carnitine"", ""description"": ""100 mg""}]",Professional body-treatment protocol on localized areas.,"[{""step"": ""Frequency"", ""value"": ""Weekly""}, {""step"": ""Area"", ""value"": ""Abdomen, hips, thighs""}]",1,1,products/fucus-vial.jpg,"[""products/fucus-vial-1.jpg""]",1
Derma line,Fuculase vial,fuculase-vial,Body-treatment vial combining lipase contouring with circulation and firming ingredients.,<p>Fuculase vial is a professional solution for body contouring and tissue-texture improvement.</p>,"Lipolytic Body Contouring, Cellulite Treatment, Drainage Support","[""Lipolytic Positioning"", ""Drainage Support"", ""Cellulite Care"", ""Firming Action"", ""Circulation Support""]","[{""name"": ""Lipase enzyme"", ""description"": ""Enzymatic support""}, {""name"": ""Deoxycholic acid"", ""description"": ""100 mg""}, {""name"": ""Troxerutin"", ""description"": ""Vascular support""}]",Professional supervision on localized body areas.,"[{""step"": ""Frequency"", ""value"": ""Weekly""}, {""step"": ""Area"", ""value"": ""Body contouring zones""}]",1,1,products/fuculase-vial.jpg,"[""products/fuculase-vial-1.jpg""]",2
Derma line,Fucus plus vial,fucus-plus-vial,"Body-contouring vial combining lipolytic, botanical, and firming ingredients.","<p>Fucus plus vial for multi-action body protocols combining contouring, drainage, and firming.</p>","Multi-Action Body Contouring, Cellulite Reduction, Skin Firming","[""Body Contouring"", ""Cellulite Support"", ""Firmness Improvement"", ""Circulation Support"", ""Drainage Action""]","[{""name"": ""Deoxycholic acid"", ""description"": ""100 mg""}, {""name"": ""L-Carnitine"", ""description"": ""100 mg""}, {""name"": ""Matrixyl 3000"", ""description"": ""Peptide complex""}]",Professional body protocol for contouring and firmness.,"[{""step"": ""Frequency"", ""value"": ""Weekly""}, {""step"": ""Area"", ""value"": ""Cellulite-prone areas""}]",1,1,products/fucus-plus-vial.jpg,"[""products/fucus-plus-1.jpg""]",3
Derma line,Firm Art,firm-art,"Firming-focused vial for skin tightening, elasticity, and texture improvement.","<p>Firm Art is designed for firmness, elasticity, and anti-stretch-mark support with 18 mg/ml hyaluronic acid.</p>","Skin Firming, Anti-Stretch Mark Treatment, Elasticity Enhancement","[""Skin Firming"", ""Elasticity Support"", ""Hydration Boost"", ""Texture Refinement"", ""Stretch-Mark Support""]","[{""name"": ""Hyaluronic acid"", ""description"": ""18 mg/ml""}, {""name"": ""Matrixyl 3000"", ""description"": ""Peptide complex""}, {""name"": ""Copper peptides"", ""description"": ""Skin repair""}]",Professional firming protocol on lax skin.,"[{""step"": ""Frequency"", ""value"": ""Weekly""}, {""step"": ""Area"", ""value"": ""Face and body""}]",1,1,products/firm-art.jpg,"[""products/firm-art-1.jpg""]",4
Derma line,Hair Art,hair-art,Professional hair loss prevention and regeneration vial with growth factor peptides.,<p>Hair Art prevents androgenic alopecia and telogen effluvium while promoting cell regeneration and hair growth through multiple growth factors and DHT inhibitors.</p>,"Hair Loss Prevention, Androgenic Alopecia Treatment, Hair Growth Promotion","[""Hair Loss Prevention"", ""Cell Regeneration Support"", ""Hair Growth Promotion"", ""Improved Microcirculation"", ""DHT Inhibition"", ""Scalp Health""]","[{""name"": ""EGF Peptides"", ""description"": ""Cellular repair""}, {""name"": ""VEGF Peptides"", ""description"": ""Blood vessel formation""}, {""name"": ""Capixyl RCP complex"", ""description"": ""DHT inhibition""}, {""name"": ""Yohimbine"", ""description"": ""Alpha-2 blockade""}]","2 ml per session targeting hair loss areas, 10-15 day intervals.","[{""step"": ""Dosage"", ""value"": ""2 ml per session""}, {""step"": ""Interval"", ""value"": ""10-15 Days""}, {""step"": ""Package"", ""value"": ""5 vials \u00d7 10 ml""}]",1,1,products/hair-art.jpg,"[""products/hair-art-1.jpg""]",5
Derma line,Hyal Art,hyal-art,Hydration vial with 18 mg/ml non-cross linked hyaluronic acid for deep moisture.,<p>Hyal Art provides deep moisture to improve skin softness and fullness while minimizing fine lines with growth factors and peptides.</p>,"Deep Hydration, Fine Lines Reduction, Skin Recovery Support","[""Deep Hydration"", ""Fine Lines Minimization"", ""Smooth and Firming"", ""Recovery Support"", ""Texture Refinement"", ""Gentle Healing""]","[{""name"": ""Hyaluronic acid"", ""description"": ""18 mg/ml""}, {""name"": ""EGF Peptides"", ""description"": ""Cellular repair""}, {""name"": ""Copper tri-peptide"", ""description"": ""Skin repair""}, {""name"": ""Niacinamide"", ""description"": ""Brightening""}]","1-2 ml per session for hydration and refinement, 2-week intervals.","[{""step"": ""Dosage"", ""value"": ""1-2 ml""}, {""step"": ""Interval"", ""value"": ""2 Weeks""}, {""step"": ""Package"", ""value"": ""5 vials \u00d7 10 ml""}]",1,1,products/hyal-art.jpg,"[""products/hyal-art-1.jpg""]",6
Derma line,Skin Booster,skin-booster,Comprehensive revitalization vial with 23 mg/ml hyaluronic acid and Argireline.,<p>Skin Booster boosts cellular energy for revitalized complexion with profound hydration and Botox-like smoothing effects through Acetyl Hexapeptide-8.</p>,"Cellular Energy Boost, Deep Hydration, Fine Lines Reduction, Post-Procedure Recovery","[""Cellular Energy Boost"", ""Profound Hydration"", ""Fine Lines Reduction"", ""Botox-Like Smoothing"", ""Accelerated Healing"", ""Texture Refinement""]","[{""name"": ""Hyaluronic acid"", ""description"": ""23 mg/ml""}, {""name"": ""Acetyl Hexapeptide-8"", ""description"": ""Argireline - Botox-like peptide""}, {""name"": ""Thymosin \u03b24"", ""description"": ""Rapid healing""}]","2-3 ml per session for revitalization, 28-day intervals.","[{""step"": ""Dosage"", ""value"": ""2-3 ml""}, {""step"": ""Interval"", ""value"": ""28 Days""}, {""step"": ""Package"", ""value"": ""5 vials \u00d7 5 ml""}]",1,1,products/skin-booster.jpg,"[""products/skin-booster-1.jpg""]",7
Derma line,Rejuve Art,rejuve-art,Rejuvenation vial with 10 mg/ml hyaluronic acid and marine peptides.,<p>Rejuve Art enhances cellular energy for youthful vitality while stimulating collagen and elastin with marine peptides and brightening actives.</p>,"Cellular Energy Enhancement, Collagen Stimulation, Skin Radiance","[""Cellular Energy Enhancement"", ""Collagen and Elastin Stimulation"", ""Radiant Plump Skin"", ""Fine Lines Smoothing"", ""Tone Unification""]","[{""name"": ""Hyaluronic acid"", ""description"": ""10 mg/ml""}, {""name"": ""Marine Collagen Polypeptides"", ""description"": ""Collagen synthesis""}, {""name"": ""Palmitoyl Oligopeptide"", ""description"": ""Collagen stimulation""}]","1-2 ml per session for rejuvenation, 2-week intervals.","[{""step"": ""Dosage"", ""value"": ""1-2 ml""}, {""step"": ""Interval"", ""value"": ""2 Weeks""}, {""step"": ""Package"", ""value"": ""5 vials \u00d7 10 ml""}]",1,1,products/rejuve-art.jpg,"[""products/rejuve-art-1.jpg""]",8
Derma line,White Art,white-art,Brightening vial addressing melanogenesis through 4 targeted steps.,"<p>White Art controls melanogenesis through 4 steps: inhibiting indirect induction, blocking melanin production, preventing transportation, and removing current pigmentation.</p>","Melanogenesis Control, Hyperpigmentation Reduction, Melasma Treatment","[""Melanogenesis Control"", ""Sun Spot Reduction"", ""Melasma Treatment"", ""Post-Inflammatory Healing"", ""Sensitive Area Brightening"", ""Even Tone Creation""]","[{""name"": ""Tranexamic acid"", ""description"": ""TXA - Melanin blocker""}, {""name"": ""Glutathione"", ""description"": ""Tyrosinase inhibitor""}, {""name"": ""Kojic acid"", ""description"": ""Melanin suppression""}, {""name"": ""Azelaic Acid"", ""description"": ""Melanocyte activity blocker""}]","1-2 ml per session for brightening, 2-week intervals. Strict sun protection required.","[{""step"": ""Dosage"", ""value"": ""1-2 ml""}, {""step"": ""Interval"", ""value"": ""2 Weeks""}, {""step"": ""Package"", ""value"": ""5 vials \u00d7 10 ml""}, {""step"": ""Critical"", ""value"": ""SPF 50+ mandatory""}]",1,1,products/white-art.jpg,"[""products/white-art-1.jpg""]",9
Derma line,Prelase Amp,prelase-amp,Pre-treatment ampoule with L-Carnitine and botanicals for water retention reduction.,"<p>Prelase Amp is a pre-treatment ampoule for body contouring supporting water retention reduction, enhanced lipid delivery, and detoxification.</p>","Pre-Lipolytic Support, Water Retention Reduction, Detoxification","[""Water Retention Reduction"", ""Enhanced Lipid Delivery"", ""Improved Detoxification"", ""Cellulite Reduction"", ""Metabolic Activation""]","[{""name"": ""L-Carnitine"", ""description"": ""Fat metabolism""}, {""name"": ""Green tea"", ""description"": ""Thermogenesis""}, {""name"": ""Artichoke"", ""description"": ""Liver detox""}]",Pre-treatment or complementary ampoule in body-contouring protocols.,"[{""step"": ""Use"", ""value"": ""Per session""}, {""step"": ""Area"", ""value"": ""Body contouring zones""}]",1,1,products/prelase-amp.jpg,"[""products/prelase-amp-1.jpg""]",10
